timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt,S4_azimuth
2003-04-28 16:00:00-04:00,263,308,146,67.77616288909833,67.81634819765216,297.76611587968347,262.2935906139644,-0.26859672472836593,65.21511959266496,270.0
2003-04-28 17:00:00-04:00,80,116,60,80.31358347863647,80.40549860694466,290.184717253956,79.3341980471677,-0.8322524410403709,20.437369876562826,270.0
2003-04-28 18:00:00-04:00,2,0,2,93.56762683455149,93.56762683455149,283.9887644581444,2.0,0.0,,
2003-04-28 19:00:00-04:00,0,0,0,107.06925975728338,107.06925975728338,278.49794959128695,0.0,,,
2003-04-28 20:00:00-04:00,0,0,0,120.76176395530558,120.76176395530558,273.1390890376939,0.0,,,
2003-04-28 21:00:00-04:00,0,0,0,134.52391583839844,134.52391583839844,267.19170202238314,0.0,,,
2003-04-28 22:00:00-04:00,0,0,0,148.19192970542457,148.19192970542457,259.16341779345345,0.0,,,
2003-04-28 23:00:00-04:00,0,0,0,161.29594453658763,161.29594453658763,243.90562089246092,0.0,,,
2003-04-29 00:00:00-04:00,0,0,0,170.64181207860332,170.64181207860332,193.77211833224666,0.0,,,
2003-04-29 01:00:00-04:00,0,0,0,164.93901963605322,164.93901963605322,124.87367876872435,0.0,,,
2003-04-29 02:00:00-04:00,0,0,0,152.31442422600034,152.31442422600034,104.15269151247492,0.0,,,
2003-04-29 03:00:00-04:00,0,0,0,138.7419673815508,138.7419673815508,94.81850177028912,0.0,,,
2003-04-29 04:00:00-04:00,0,0,0,124.99378905807248,124.99378905807248,88.45423589717399,0.0,,,
2003-04-29 05:00:00-04:00,0,0,0,111.27782826769484,111.27782826769484,82.99732925785656,0.0,,,
2003-04-29 06:00:00-04:00,0,0,0,97.71922392165159,97.71922392165159,77.5934089730896,0.0,,,
2003-04-29 07:00:00-04:00,35,19,33,84.30791627068771,84.45416823048978,71.65700610307499,34.8361971335974,-0.4680081897217089,11.366063999113948,90.0
2003-04-29 08:00:00-04:00,226,361,111,71.6357119251081,71.68488160988787,64.56214587514762,224.44171066740577,-0.6895085542452336,60.14777298533631,90.0
2003-04-29 09:00:00-04:00,445,553,164,59.730068500515685,59.75837450830133,55.437938107053355,442.51718423705785,-0.5579361265038546,54.67359745080812,90.0
